vertical	returned_qty
WomenSandalMisc	13956
Soap	14003
BodyAndSkinTreatment	14504
Aftershave	14544
HairAccessory	14627
DiaryNotebook	14654
OutdoorToy	14953
MensTie	15060
GirlsTShirt	15069
HairSerum	15180
MensInnerwearSleepwear	15251
WomenTrackPant	15327
WomenCamisoleSlip	15750
BoyShirt	15813
WomenSweaterPullover	15918
MenBag	16398
SchoolWaterBottle	16412
MenEthnicShoe	16424
MensWaistcoat	16602
Totes	17313
DigitalEGiftVoucher	17646
MensEthnicSet	17923
WomenSportBra	18031
WomenBlouse	18280
InfantDress	18386
BodyEssentialOil	18857
FitnessAccessory_Bottle	19280
MensSportsJacket	20210
TeamSport_Ball	20485
HairTreatment	20711
WatchAccessory	20852
Rucksack	20853
MusicalToy	20934
WomenNightSuit	21301
Suitcase	21422
GirlSandal	21698
MosquitoNet	21873
MensTrackSuit	21880
Toy	22596
WomenShort	22741
GirlsLehengaCholi	22752
WomenTunic	22973
WomenCapri	23188
Nail	23205
VitaminSupplements	23281
OutdoorAdventure	24242
WalletCardHolder	24347
DuffelBag	24435
MensRaincoat	24441
WomenLoafer	24787
GirlClothing	24857
WomenLingerieSet	25080
Strength	25477
WomenBoot	26198
HairCareAccessory	26366
VehiclePullAlong	26418
CardHolders	26688
AbExerciser	26792
Sports_Footwear	27211
Shampoo	27819
GirlShoe	27987
WomenEthnicSet	28080
BoySandal	28514
WomenJumpsuit	28918
MensBoxer	28999
HairStyle	29059
MensBrief	29893
WomenSweatshirt	30396
MakeupAccessory	30604
BoyClothing	31259
PenAndPencil	32159
ComboAndKit	33647
SchoolBag	35075
Condom	35993
WomenShrug	36094
StuffedToy	36535
LearningToy	37429
Frame	37869
MensKurta	38345
PuzzleBoardGame	38355
Nappy	38764
MensBlazer	39301
OfficeSupplyMisc	39386
FitnessAccessory_Support	39779
WomenSkirt	40286
WomenPanty	40906
MensVest	41100
FitnessAccessory_SportGlove	42906
Face	43758
NA	45732
Football_Ball	48126
WalletClutch	48457
Perfume	49701
BodyCare	49790
WomenShapewear	49955
BoysEthnicSet	50853
Badminton	52325
WomenSlipperFlipFlops	52444
Cricket_Bat	54993
BoysTShirt	56656
FitnessAccessory_SportBag	56845
WomenEthnicWear	57392
Eye	57882
WomenJacket	58229
MensSweater	61667
ArtificialPendantLocket	62232
ProteinSupplement	65904
WomenTrouser	66492
ArtificialNecklaceChain	67998
WomenSportShoe	69079
WomenLeggingJegging	69799
WomenSalwarKurtaDupatta	70193
MensSportwear	70416
Lip	72110
HairCare	74263
Deodorant	74867
WomenShirt	76624
MensShort	76849
WomenBellies	78014
